identifier, premises_name, premises_number, premises_category, application_date, psu_registration_number, supervising_pharmacist, district, region, street_or_road
1, 3MS INVESTMENTS LTD, NDA/PRE/RTP/2036, Retail Pharmacy, 15/02/2018, 765, Oyaga Asimwe, Jinja, South Eastern Region - Jinja, Baxi Road
2, 3T Pharmaceuticals Ltd, NDA/PRE/RTP/0502, Retail Pharmacy, 28/11/2017, 812, SHAMIM NAKADE, KAMPALA, Central Region - Nakawa, KAWEMPE
3, 4U Pharmacy, NDA/PRE/RTP/2297, Retail Pharmacy, 28/06/2018, 093, ANNE MULYANTI, KAMPALA, Central Region - Nakawa, RUBAGA - DIVISION
4, 7 HILLS PHARMACY, NDA/PRE/RTP/0140, Retail Pharmacy, 03/01/2018, 1013, DANIEL KIIZA, WAKISO, Central Region - Nakawa, BUKASA ROAD KIRINYA BWEYOGERERE
5, A & A Medcor Pharmacy, Entebbe, NDA/PRE/RTP/0898, Retail Pharmacy, 23/12/2017, 389, NORBERT ANYAMA, WAKISO, Central Region - Nakawa, Kampala Rd
6, A &A MEDICOR PHARMACY, NDA/PRE/RTP/1424, Retail Pharmacy, 28/02/2018, 389, NORBERT ANYAMA, KAMPALA, Central Region - Nakawa, ALBERT COOK ROAD, MENGO
7, AAFIYA (A) LTD, NDA/PRE/WHP/1321, Wholesale Pharmacy, 10/11/2017, 839, ABODA KOMAKECH, Koboko, West Nile Region - Arua, Transport Rd
8, AARON PHARMACEUTICALS LIMITED, NDA/PRE/WHP/0453, Wholesale Pharmacy, 08/12/2017, 1029, Ayubu Nsibirwa, KAMPALA, Central Region - Nakawa, William Street
9, Aaron Pharmaceuticals Ltd, NDA/PRE/EXT/2390, External Store, 24/01/2018, 1029, Ayubu Nsibirwa, KAMPALA, Central Region - Nakawa, 2nd Street
10, Aaron Pharmaceuticals Ltd, NDA/PRE/RTP/1751, Retail Pharmacy, 30/12/2017, 835, Nelson Muhanguzi, KAMPALA, Central Region - Nakawa, William Street
11, ABACUS PARENTERAL DRUGS LIMITED, NDA/PRE/PMC/2378, Pharmaceutical Manufacturer C, 08/01/2018, 722, ZAM NAMWESEZA, Mukono, South Eastern Region - Jinja, KINGA
12, ABACUS PARENTERAL DRUGS LIMITED, NDA/PRE/WHP/2311, Wholesale Pharmacy, 08/11/2017, 794, Raymond Kawere, Mukono, South Eastern Region - Jinja, GWAWAMYA, KINGA
13, Abacus Pharma - Sunset, NDA/PRE/WHP/2328, Wholesale Pharmacy, 22/12/2017, 529, Eva Agnes Odongpiny, KAMPALA, Central Region - Nakawa, Wilson Road
14, Abacus Pharma (A) Ltd, NDA/PRE/EXT/2361, External Store, 23/01/2018, 497, ERIC KITUTU, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
15, Abacus Pharma (A) Ltd, NDA/PRE/RTP/0900, Retail Pharmacy, 08/05/2018, 1208, JOHN KISEKKA, Kabarole, Western Region - Hoima, BWAMBA ROAD
16, ABACUS PHARMA (A) LTD, NDA/PRE/RTP/1322, Retail Pharmacy, 13/11/2017, 600, GIDEON OLAJA, Arua, West Nile Region - Arua, Adumi Rd
17, Abacus Pharma (A) Ltd, NDA/PRE/RTP/1943, Retail Pharmacy, 15/11/2017, 216, WILLIAM OTIM, Lira, Northern Region - Lira, Bala Rd
18, Abacus Pharma (A) Ltd, NDA/PRE/RTP/2164, Retail Pharmacy, 12/10/2018, 713, FRANCIS LUMU, KAMPALA, Central Region - Nakawa, Opposite Old Taxi Park
19, Abacus Pharma (A) Ltd, NDA/PRE/WHP/0167, Wholesale Pharmacy, 19/07/2018, 510, JOSEPHINE MARY, Gulu, Northern Region - Lira, Queens Avenue
20, ABACUS PHARMA (A) LTD, NDA/PRE/WHP/0899, Wholesale Pharmacy, 11/12/2017, 877, AMBROSE JAKIRA, Kabarole, Western Region - Hoima, Bwamba Road
21, ABACUS PHARMA (A) LTD, NDA/PRE/WHP/1323, Wholesale Pharmacy, 13/11/2017, 600, GIDEON OLAJA, Arua, West Nile Region - Arua, Adumi Rd
22, ABACUS PHARMA (A) LTD, NDA/PRE/WHP/1540, Wholesale Pharmacy, 13/11/2017, 887, Lubega Wilfred, Mukono, South Eastern Region - Jinja, Jinja - Kampala Highway
23, Abacus Pharma (A) Ltd, NDA/PRE/WHP/1942, Wholesale Pharmacy, 15/11/2017, 216, WILLIAM OTIM, Lira, Northern Region - Lira, Bala Rd
